AÑO,MES,NACIONAL,INTERNACIONAL,TOTAL
1992,Ene,130019,917782,1047801
1992,Feb,114830,922125,1036955
1992,Mar,135694,1018577,1154271
1992,Abr,189975,780979,970954
1992,May,149395,705531,854926
1992,Jun,147813,695359,843172
1992,Jul,349699,786371,1136070
1992,Ago,369648,857506,1227154
1992,Sep,147565,562161,709726
1992,Oct,156631,659120,815751
1992,Nov,157039,717254,874293
1992,Dic,180675,761839,942514
1993,Ene,153558,976164,1129722
1993,Feb,142274,912919,1055193
1993,Mar,149161,1028012,1177173
1993,Abr,191546,856844,1048390
1993,May,162997,732950,895947
1993,Jun,151689,735128,886817
1993,Jul,375296,804981,1180277
1993,Ago,391459,824337,1215796
1993,Sep,170046,563207,733253
1993,Oct,161762,645867,807629
1993,Nov,151890,697007,848897
1993,Dic,191142,720931,912073
1994,Ene,153379,968388,1121767
1994,Feb,143280,936947,1080227
1994,Mar,191624,1120729,1312353
1994,Abr,190252,845728,1035980
1994,May,178672,709437,888109
1994,Jun,153984,752290,906274
1994,Jul,418798,794036,1212834
1994,Ago,425957,759542,1185499
1994,Sep,207976,576136,784112
1994,Oct,200232,648414,848646
1994,Nov,185973,720473,906446
1994,Dic,239036,781640,1020676
1995,Ene,159833,1189674,1349507
1995,Feb,155187,1130726,1285913
1995,Mar,200586,1272020,1472606
1995,Abr,208953,1000924,1209877
1995,May,167910,889350,1057260
1995,Jun,173673,984048,1157721
1995,Jul,331551,1017131,1348682
1995,Ago,378176,941610,1319786
1995,Sep,199489,746516,946005
1995,Oct,177751,743889,921640
1995,Nov,191278,851991,1043269
1995,Dic,218277,888814,1107091
1996,Ene,168440,1215957,1384397
1996,Feb,146729,1266682,1413411
1996,Mar,166147,1425123,1591270
1996,Abr,212806,1153946,1366752
1996,May,175733,1062557,1238290
1996,Jun,179683,1131834,1311517
1996,Jul,337642,1089307,1426949
1996,Ago,324604,1058072,1382676
1996,Sep,173907,712463,886370
1996,Oct,166085,801980,968065
1996,Nov,184517,932359,1116876
1996,Dic,210663,1034272,1244935
1997,Ene,188238,1291796,1480034
1997,Feb,151398,1342080,1493478
1997,Mar,211608,1526595,1738203
1997,Abr,194995,1261116,1456111
1997,May,204327,1208853,1413180
1997,Jun,199204,1342907,1542111
1997,Jul,378816,1310896,1689712
1997,Ago,357898,1209981,1567879
1997,Sep,199675,882224,1081899
1997,Oct,172025,981819,1153844
1997,Nov,198212,1053029,1251241
1997,Dic,221713,1119418,1341131
1998,Ene,253418,1343050,1596468
1998,Feb,238485,1388746,1627231
1998,Mar,257613,1594255,1851868
1998,Abr,340959,1424786,1765745
1998,May,312226,1310210,1622436
1998,Jun,287062,1437174,1724236
1998,Jul,483404,1316104,1799508
1998,Ago,516738,1261598,1778336
1998,Sep,293911,946701,1240612
1998,Oct,251862,975873,1227735
1998,Nov,265491,1039920,1305411
1998,Dic,323264,1082786,1406050
1999,Ene,283407,1177524,1460931
1999,Feb,281265,1194182,1475447
1999,Mar,353005,1508676,1861681
1999,Abr,367831,1238792,1606623
1999,May,370917,1126281,1497198
1999,Jun,364671,1306716,1671387
1999,Jul,641705,1211734,1853439
1999,Ago,547272,1191093,1738365
1999,Sep,316920,888810,1205730
1999,Oct,305165,855321,1160486
1999,Nov,293392,907151,1200543
1999,Dic,364468,812264,1176732
2000,Ene,222270.5491,1172434.096,1394704.645
2000,Feb,243708.5085,1546840.787,1790549.295
2000,Mar,306640.1657,2132902.116,2439542.282
2000,Abr,355048.5564,1456769.747,1811818.303
2000,May,310726.8331,1439355.167,1750082
2000,Jun,326691.0173,1685277.939,2011968.956
2000,Jul,578155.6178,1578684.971,2156840.589
2000,Ago,507950.5359,1491574.687,1999525.222
2000,Sep,238569.2511,1024369.078,1262938.329
2000,Oct,226167.321,1056032.231,1282199.552
2000,Nov,251548.3856,1135749.614,1387297.999
2000,Dic,306267.1824,1132810.413,1439077.596
2001,Ene,264497.9854,1485465.822,1749963.807
2001,Feb,260216.5991,1538747.915,1798964.514
2001,Mar,306431.5167,2298127.366,2604558.883
2001,Abr,427383.8619,1719623.311,2147007.173
2001,May,348712.5255,1670863.801,2019576.327
2001,Jun,393478.2352,1914700.256,2308178.491
2001,Jul,810409.0623,1845797.382,2656206.444
2001,Ago,706900.1654,1761958.356,2468858.522
2001,Sep,368366.4612,1125375.612,1493742.073
2001,Oct,349251.2512,1160566.416,1509817.667
2001,Nov,423622.2129,1190915.186,1614537.399
2001,Dic,487101.6269,1283131.749,1770233.376
2002,Ene,360528.3538,1614345.306,1974873.66
2002,Feb,341099.3098,1724979.864,2066079.174
2002,Mar,622860.4827,2318244.334,2941104.817
2002,Abr,524854.8453,1711624.135,2236478.98
2002,May,448307.2575,1654866.487,2103173.745
2002,Jun,557211.7544,2025309.358,2582521.113
2002,Jul,1038743.463,1929936.813,2968680.275
2002,Ago,875392.7888,1770083.256,2645476.045
2002,Sep,406408.5699,1083347.509,1489756.079
2002,Oct,339595.5831,1178166.491,1517762.075
2002,Nov,391298.7471,1350901.14,1742199.887
2002,Dic,549658.8353,1545818.552,2095477.388
2003,Ene,375026.5484,1809962.405,2184988.953
2003,Feb,417163.127,1955255.749,2372418.876
2003,Mar,550243.2096,2282311.317,2832554.527
2003,Abr,674278.6413,1906863.196,2581141.838
2003,May,608408.2687,1720009.532,2328417.801
2003,Jun,653543.8301,2091072.482,2744616.312
2003,Jul,801166.4208,2451851.581,3253018.001
2003,Ago,671898.3027,2369799.989,3041698.292
2003,Sep,349871.2644,1556208.298,1906079.563
2003,Oct,294579.3108,1620319.616,1914898.926
2003,Nov,386051.0923,1898252.465,2284303.558
2003,Dic,431805.5406,2052825.675,2484631.216
2004,Ene,331111.0829,2348051.534,2679162.617
2004,Feb,343781.9913,2526669.905,2870451.896
2004,Mar,360775.19,2798519.062,3159294.252
2004,Abr,508566.5066,2493881.467,3002447.973
2004,May,415095.7183,2203244.909,2618340.627
2004,Jun,435050.5806,2534916.725,2969967.306
2004,Jul,849444.1596,2717752.323,3567196.482
2004,Ago,632755.9568,2597564.747,3230320.704
2004,Sep,349880.6435,1725560.05,2075440.694
2004,Oct,334898.5211,1907280.954,2242179.475
2004,Nov,370186.0792,2184237.469,2554423.548
2004,Dic,460739.9114,2329332.749,2790072.66
